,MN-64,Venetoclax,AGI-5198,AZD3759,NVP-ADW742,P22077,WEHI-539,Foretinib,Rapamycin,PRIMA-1MET,Talazoparib,Trametinib,Luminespib,CZC24832,PFI3,Wnt-C59,OTX015,GSK343,AGI-6780,Uprosertib,Methotrexate,Olaparib,Bosutinib,Axitinib,CCT-018159,Afuresertib,Osimertinib,Savolitinib,Pyridostatin,Vinorelbine,ZM447439,AZD8055,Crizotinib,Temozolomide,LCL161,OSI-027,Ibrutinib,Docetaxel,Vorinostat,Temsirolimus,Bicalutamide,OF-1,Cediranib,Telomerase Inhibitor IX,UMI-77,Sepantronium bromide,MIM1,Avagacestat,5-Fluorouracil,Niraparib,BMS-345541,XAV939,Sapitinib,Taselisib,NU7441,SGC0946,Camptothecin,Vinblastine,Gefitinib,GW441756,SB216763,Motesanib,Daporinad,Elesclomol,Tozasertib,ABT737,GNE-317,WIKI4,AMG-319,Pictilisib,EHT-1864,Sorafenib,Oxaliplatin,GSK1904529A,Serdemetan,Erlotinib,MK-1775,Gemcitabine,YK-4-279,Bleomycin (50 uM),Vismodegib,JNK Inhibitor VIII,AZD7762,AZD6482,IOX2,BX795,SB505124,Obatoclax Mesylate,Dinaciclib,Fulvestrant,AZ960,Alpelisib,Wee1 Inhibitor,PRT062607,Ribociclib,Picolinici-acid,GSK591,VE821,JQ1,GSK2830371,Navitoclax,Refametinib,Lestaurtinib,CHIR-99021,Piperlongumine,Sabutoclax,GSK2578215A,MK-8776,Alisertib,Dactolisib,SB590885,Selumetinib,BMS-536924,Rucaparib,Bortezomib,EPZ004777,Dabrafenib,Pevonedistat,PLX-4720,LGK974,VE-822,GSK2606414,ML323,PFI-1,Nilotinib,Afatinib,TW 37,Tretinoin,SL0101,LY2109761,MG-132,AZD8186,Ipatasertib,GDC0810,BIBR-1532,Nutlin-3a (-),CCT007093,Tamoxifen,Cyclophosphamide,Lapatinib,AZD5582,I-BET-762,AZ6102,Cisplatin,Cytarabine,Veliparib,Lenalidomide,Tanespimycin,KRAS (G12C) Inhibitor-12,AZD6738,I-BRD9,MIRA-1,PD173074,RO-3306,MK-2206,Palbociclib,PD0325901,Dasatinib,Paclitaxel,BI-2536,Irinotecan,SN-38,Ruxolitinib,Linsitinib,Epirubicin,Doramapimod,EPZ5676,SCH772984,IWP-2,Leflunomide,Entinostat,WZ4003,PCI-34051,RVX-208,Entospletinib,AZD4547,VX-11e,LJI308,KU-55933,PF-4708671,GSK269962A
LB647-SCLC,5.1646237,2.2137341,4.0466256,2.6540291,1.6499306,2.2426777,3.307234,0.3799837,-0.94985276,2.8512518,2.9638329,1.7940586,-0.5056098,5.180263,5.136139,4.6587257,2.2413795,2.7797148,4.1441474,2.4613812,2.310416,3.9928048,3.5941322,0.34685352,5.1034746,1.7978765,0.9375406,2.8789253,2.6642041,-4.8199544,0.5118968,,0.8327428,5.5099363,5.0792165,3.4862792,4.6167946,-6.0774703,0.11473555,2.8551755,4.613269,3.8515074,1.845974,-0.07287408,,-5.790033,,4.7078514,4.349401,3.074078,1.8200102,4.3966813,4.5929193,1.687053,3.0371006,2.1836596,-2.5861976,,3.0215037,3.3533137,5.209444,5.216486,-4.4518847,-1.4446801,-2.6529331,0.8776979,1.6957644,2.7648563,4.2334023,2.2458117,4.368512,1.8021328,3.1825953,4.4558487,3.5320988,3.9303534,-1.0596169,-3.0407,0.62276113,,4.1451344,5.210938,-1.3324519,4.0534487,2.2207537,1.7339787,5.1023517,,-3.5162208,2.912646,1.3181348,2.9106243,0.97345775,2.1325915,3.2786665,4.8513846,3.6417744,2.1340816,1.4234099,,1.4795223,5.1882143,-0.43286178,5.215794,1.4358623,-1.1196216,4.813759,1.1778924,-2.4623344,-0.9179795,4.523339,4.514865,3.9230819,4.475953,-5.190218,4.1749697,4.728585,-1.9299723,3.5724454,5.2123733,1.8118602,4.6245866,4.384445,3.8360817,2.6704695,2.0499895,,4.564855,5.16619,4.421937,-1.67784,3.05268,2.8172507,5.2015176,4.2465916,4.9671793,3.8406825,5.096469,4.6589684,3.8314996,1.8113433,3.11721,2.5590267,,,4.9879723,5.0601544,2.8219388,3.6983078,0.6436209,3.5160172,5.0247483,4.371756,1.8803432,1.8540275,4.4193287,3.5112884,3.607048,-4.58827,-3.1035638,2.650653,-1.2072333,5.1893473,3.6101978,-0.56803936,4.076327,5.2095227,4.6901927,2.725516,6.0776286,-0.76649356,5.10181,3.6609788,4.923751,5.1452103,4.0958743,3.716213,3.6969028,5.215977,3.466482,2.3826995
LN-18,5.427518,1.8655568,3.992827,3.5664637,2.0556593,3.9085245,4.6917276,1.012351,-2.8028727,5.38341,3.404179,1.711253,-3.4806695,4.068526,5.5943213,4.1529226,3.3651674,2.8970735,4.618198,2.3995225,-1.6741593,5.246417,4.0061707,3.0046923,,2.8123147,2.9905453,2.2447524,4.721603,-2.007234,1.6790859,0.433457,2.827977,5.890361,5.1320467,3.3850505,5.6455045,-3.336213,1.2308043,1.3268603,,4.4210052,1.8797209,0.04257302,1.1861851,-5.506948,3.3485594,4.7028995,4.6121354,4.612777,3.0262768,4.014509,3.799529,2.4425447,2.9809096,1.8669859,-2.0399644,-4.589724,3.9005494,3.4167516,3.6816914,5.619584,,,,1.3295122,0.05403556,4.0420647,4.8030453,1.8692187,3.5044162,1.7425661,4.7078047,3.4909847,4.638259,2.2981114,1.1840379,0.7120917,1.7371075,0.49682418,5.385358,5.2917833,-0.75383204,,,,,-0.5928343,-1.919156,3.6216571,2.1686447,4.754799,1.2325069,4.8425612,3.866281,5.3463984,5.1367774,4.777891,3.136161,5.647401,2.4750185,3.728615,0.8228705,,,0.8912812,5.5314603,3.5623052,0.75326186,-2.6625762,4.0564365,5.5340996,0.9930553,3.9561157,-5.673871,4.4918427,4.4961,-1.6169552,3.2319582,4.8111286,2.9027448,3.8438044,4.1445093,4.420667,4.5678463,3.1338422,,,,5.598652,-1.7541066,2.1476476,5.2144084,3.9547496,5.615407,5.238626,4.367291,2.7121165,5.64096,2.1174085,1.9316194,4.6599965,3.4565172,3.658997,3.1338432,5.3558254,5.5532994,-1.1540029,5.7019486,0.704406,5.3987794,4.855897,4.585458,1.672885,3.1640465,4.3187423,2.5299158,2.1949863,-0.3582693,-1.8677763,3.0119674,3.5317066,4.2152605,4.31645,-1.3218646,5.1851134,5.1685395,3.3614817,3.179164,5.3521676,3.1186664,5.111227,5.15498,4.7321596,2.7055573,1.3776909,4.2731795,5.131575,4.3865533,,
Jurkat,2.5518847,1.1535003,4.3174887,2.1773949,0.9853984,1.9532704,,1.42557,-2.2513142,3.0290232,-0.4023366,2.4750547,-2.88166,4.4373474,4.6397824,2.7863216,1.4382699,2.7303011,3.6899154,-0.4527878,-3.1836631,2.578969,0.46984768,2.3075237,,-2.4011624,1.6024784,0.9927526,3.1619246,-5.7121043,1.9940753,0.64803225,1.9554355,5.608042,4.633269,4.300956,2.7915733,-5.288064,0.025700632,-0.86515605,,1.3686689,1.8314502,-0.73223525,2.461598,-4.5172653,1.4406512,3.543138,3.6678233,2.8178759,2.3582606,4.1387696,4.648855,0.6989664,1.6608368,1.6274194,-4.346429,-6.635362,2.9265323,2.4924889,3.8608809,4.0305495,,,,-0.87532085,-2.1466105,3.0970163,3.7965307,0.8678462,2.1218953,1.5461354,3.677116,3.5060844,3.5461571,1.3237101,-0.6594804,-2.2185185,-0.16714925,1.6225412,3.7919142,4.575971,-1.1688477,,,,,0.6066508,-4.069392,2.8058445,0.027111664,2.2060916,-0.11021841,2.7557049,2.6948247,4.6200886,3.293152,2.4407637,0.14136334,3.533907,-0.24143286,3.8328106,-2.4714549,,,-0.47817886,4.100005,1.7344832,1.894957,-4.3011937,3.9467704,4.7251277,1.9793723,3.9096918,-5.432756,4.4703326,2.781359,-1.1991054,2.349062,2.3950117,1.4800127,2.9272697,2.6489878,3.7186792,1.9277095,0.89747167,,,,3.7548761,-0.87006134,1.0700653,-1.4639722,4.2678638,4.1891937,3.5980303,4.6331997,2.2585604,3.748842,2.5285356,,1.7588648,1.7453942,1.2314111,-1.8743843,4.433544,4.4354215,0.43042958,1.5511391,0.23978746,1.1958396,3.6260521,2.9763646,2.3898664,0.2571529,1.5075556,2.8003523,1.4443609,-4.8721323,-4.0160785,0.3279099,-5.685682,4.023314,3.6955612,-2.6118338,4.6399174,4.4040504,3.8099089,2.327234,2.9791002,0.0617039,3.3579602,3.5121522,4.626839,3.4175467,0.8218946,2.6185143,3.9981978,3.699953,,
SU8686,6.751233,4.499338,5.018076,2.5894659,5.952925,6.591932,5.1387043,3.167988,1.3047261,7.930576,5.8605447,-0.094027594,0.99293554,5.900093,6.6974382,5.6801233,6.864798,5.666743,6.2281814,6.750608,-0.15575975,5.246999,1.8998754,4.6238604,,4.465285,2.2238355,3.188032,5.539912,1.2669101,4.423023,1.2467837,5.9246287,7.7089357,6.2002754,5.4975924,5.4567056,0.20590475,5.1931877,3.6648579,,4.9477987,3.070956,2.057738,5.313409,-4.9986277,4.181097,5.1744256,7.179846,6.848015,6.112263,4.817356,3.5271354,2.9951143,5.0766735,3.59456,1.4207203,-0.3539396,4.757101,4.2209754,5.6641607,6.718371,,,,2.3037393,2.2921302,3.6974006,6.415,3.4317682,5.209536,3.0649993,6.064996,5.7889256,5.046302,2.9886131,2.5516603,2.362586,3.6356997,6.833534,6.239632,5.75326,1.4878147,,,,,3.6880772,0.010712307,4.698011,4.509169,4.80264,3.757917,6.206619,5.527313,5.4176507,5.3484135,6.082396,6.3838363,6.3165345,1.8193951,1.335243,0.692672,,,1.2798799,5.9695463,4.90232,5.549599,0.91506106,5.4707937,2.494305,2.6574795,5.381825,-3.4236298,5.8546524,6.3328404,2.1572247,5.1209893,4.1132464,5.1151805,4.5363426,5.509045,6.4754,5.2939773,3.8274598,,,,4.837022,-0.90006775,2.6956093,4.722031,6.057763,5.4014955,6.7323008,6.858403,4.685554,4.7055645,4.5045757,5.1654835,6.859776,3.7823277,7.338775,5.1875668,6.738262,6.187803,1.661228,5.6972785,3.362966,6.7039175,7.268892,6.309726,6.8656507,5.481903,7.7461004,0.8251938,0.5600991,-1.0706602,2.3459086,6.1731987,4.9271517,6.414602,5.925837,1.1813573,6.146516,7.3008375,2.4183295,3.5687923,5.7864733,5.889773,6.7256875,6.107146,6.7400537,4.382505,4.733348,3.9310482,6.6793838,6.811946,,
LU-135,4.146539,3.063932,5.173997,3.1620035,0.87192005,2.9218585,-1.4853863,-1.0437089,-0.9504188,5.059332,2.6963246,2.149553,-0.29729876,5.274074,5.3671517,5.237092,2.535247,3.1207714,4.5421433,2.5232303,-3.048458,3.561588,2.6614652,0.9280762,,4.3527923,2.7265143,2.5914066,1.7198786,-3.6159213,-0.21301253,-0.45199335,0.7331365,4.9544973,5.10622,3.0365033,4.6017694,-5.116641,0.68654406,1.7425483,,4.6612124,2.731037,0.5002919,3.030712,-4.8400726,3.6759496,4.526456,4.1409807,4.5744367,3.200193,5.333317,4.7887096,2.1582136,1.4412112,2.0996375,-3.065622,-2.565919,3.228728,0.38855675,3.9312143,4.6203303,,,,-1.1094564,1.1454438,3.27879,4.798659,1.4704863,4.3970017,2.2014625,3.924089,4.0880256,2.5993543,4.2519255,0.35293284,-0.93942803,2.4173105,3.030231,4.341001,5.3702817,0.7341612,,,,,0.23016003,-0.08387662,3.746631,1.8170838,3.6213696,2.32629,3.0426266,2.458082,5.3472824,4.890972,3.4248602,-0.18193842,4.8112845,-2.2201023,4.5866284,-1.8588048,,,-0.950949,5.116058,2.375454,-1.4252056,-0.61643493,2.7756314,5.073707,2.6727874,2.8575363,-4.409114,5.590904,5.2676697,0.5125408,5.246761,4.3726645,3.7346828,4.7804227,5.2240043,3.9010546,2.2609026,0.8552638,,,,5.1126146,-0.9910788,4.355466,4.128622,5.327022,5.282852,4.251637,4.717566,3.9370031,5.324112,2.5636556,0.88529044,3.7418494,2.0777879,2.0124924,2.4538782,4.741478,4.3843246,-0.8293987,4.660555,2.6639004,4.3165135,2.6972797,3.3854196,1.7777553,1.967209,3.744968,3.3574436,3.810553,-4.150478,-3.619947,2.184308,-4.9768386,5.3101964,3.163458,-1.4978632,5.363185,5.389897,4.197435,2.8436656,5.675008,1.547827,3.542809,4.271663,5.338233,4.546772,3.3547873,2.67858,3.934454,4.742686,,
NCI-H1623,4.18908,2.015062,4.3227086,1.0110949,4.6587653,4.6249332,3.0990257,1.1853826,-2.1172442,3.3939846,-0.14393544,-0.23523581,2.439169,5.9163065,5.485046,4.181669,3.93505,3.9311974,3.4842522,1.6535938,1.0268183,2.7742844,3.6561,4.37513,,3.1845036,0.1943843,1.4749899,3.427839,-1.0067202,2.7964213,0.04822231,5.305872,7.5378327,3.8573122,1.3113627,-1.2670531,-3.397393,2.640015,0.86122763,,3.1512985,4.7814364,2.001663,3.5125468,-2.05962,4.6447034,5.340742,2.9475617,3.1056004,3.052771,2.2553425,-1.3654447,-0.1311889,4.3819733,1.0922903,-4.1356673,-1.1907737,1.4930071,2.7323034,4.792155,5.6229944,,,,2.487142,0.10987128,3.4837432,5.1236577,0.0052496525,3.5774753,3.268368,5.5306015,3.9013045,3.9486344,0.54601353,1.491841,-2.9503043,3.325969,1.8300786,5.6885962,5.8921595,0.519565,,,,,1.0130472,-2.9185913,4.0961447,2.8891485,1.8201859,4.337313,5.096276,4.536662,5.7397265,4.3411026,3.4019327,3.2459786,5.9457164,3.5608191,1.6880842,-0.03165471,,,-1.4217801,5.8276267,3.2193563,2.912742,-0.49363822,5.252569,3.831797,2.8343368,4.6281824,-3.2897267,5.0571423,5.4581246,-0.94710195,5.7196326,3.5133102,3.7664208,4.0174217,4.7004747,5.1622043,4.7011266,-1.7460874,,,,5.9190936,0.3703811,2.3201382,4.794854,4.699679,4.4204545,5.8689103,5.4585266,4.0001836,5.426161,0.23580857,2.9117658,4.4159255,2.9836466,2.175801,-0.9653256,5.6457286,5.188252,2.4294481,5.8089705,2.1612933,5.779951,6.284494,4.2501907,4.198008,2.834838,4.415485,0.15819465,4.1094112,-0.5701686,3.5875258,0.48440894,-5.6365848,4.609905,2.0924578,-1.4263569,4.9788685,5.803213,1.6260456,2.1715577,5.0728097,0.7829676,4.583154,5.905582,5.2385798,4.7062416,2.64464,2.8425786,4.8062925,5.118964,,
TE-4,3.1375296,2.828029,4.209991,3.1460412,4.154753,4.3524623,3.4845614,1.8308532,-1.1257924,5.820628,3.8080888,-0.33186576,-2.3354933,5.2224846,5.1437445,4.515229,4.4056935,3.2913868,3.6562593,2.170227,-1.6123569,3.991294,2.2986848,3.59717,,1.9981425,-1.7091937,2.1159039,4.789863,-4.705652,3.0072565,0.687626,3.5190337,5.8086386,4.7087183,3.6701443,-1.715795,-5.306346,1.431494,2.7658694,,2.718002,3.383961,1.5284536,3.3244355,-2.3823147,2.3075664,5.4218035,5.772068,5.2689924,2.7505126,3.519034,-0.5493276,0.30170545,2.226908,1.1415242,-1.1497368,-5.8637786,1.3985449,3.249725,5.180987,5.244155,,,,3.097089,0.27140415,3.6457639,4.9591813,0.8689768,2.2849183,2.157933,5.8557444,3.4731746,4.076355,1.714131,0.07955426,4.337657,1.8616804,6.654488,3.9149406,5.034731,-0.17493816,,,,,2.0728242,-3.221319,2.9642434,1.9530125,3.1067235,2.1886075,3.823296,3.8247385,5.100229,5.2425184,5.2392263,4.1490316,4.9602075,3.2134235,0.69454145,0.20395435,,,-0.44052663,4.8499746,2.7432065,3.386959,-0.14416686,3.8987157,3.953898,3.832281,3.8394544,-4.8254957,5.115947,3.5377505,1.3401989,5.1665936,2.8586252,1.6538601,4.433006,3.628103,4.269065,4.134563,-3.307283,,,,5.2306123,-0.6337269,3.4136798,2.7692404,3.954575,4.555494,4.317272,4.2006636,3.9510188,4.3436713,-1.3742385,1.7440736,5.170633,4.0870295,3.8005712,2.1537406,4.5620775,5.058892,-1.4227967,3.5625508,1.953762,5.1902795,5.4062567,2.9429538,4.616535,2.2835586,3.572308,0.71273667,2.0685494,-0.90765417,-3.2138436,3.3098736,-3.880802,4.3318224,3.830917,-0.64154965,4.8449416,5.3551865,2.4454029,2.3222332,4.3954015,1.3568959,4.6231017,4.420947,5.1887226,4.2282705,1.5493298,2.755639,5.243941,2.8403106,,
KARPAS-620,5.130676,-2.2140028,4.0701847,2.3977995,0.63677543,3.4271708,2.8589268,1.1585603,-4.0454545,2.5579605,4.8462067,-1.431088,-2.939994,4.904136,5.0479183,3.6063735,0.80399597,3.402685,3.3694775,-0.11550352,-1.848264,4.458589,2.7796738,2.6066215,,0.40076232,2.0524614,2.4931495,2.6234996,-5.68801,2.5105464,-0.89987594,1.3834037,6.0722356,4.5211678,1.0418522,2.7062263,-5.3717937,0.7493173,-0.35990223,,3.8373835,1.7519912,0.7865999,2.1945765,-5.1706576,3.1250226,5.4647865,5.288987,3.7905734,2.013653,4.332753,4.9336967,-0.32346904,2.865555,2.1349432,1.216782,-5.4093237,3.5212376,2.5043373,5.124972,5.019888,-4.5134115,,,-1.8749033,-0.31850016,4.8371406,5.11862,0.18233123,3.576946,2.0650382,4.7979054,4.2329907,3.368735,2.8089654,1.2508476,2.622434,1.4101057,5.3380427,3.285963,4.9610076,-0.12647314,,,,,0.6120992,-4.191946,2.8329668,-0.28865656,1.4553318,2.372483,1.3769054,1.9189461,4.1785045,5.008247,4.180749,2.0729141,4.3681965,-1.9918542,1.1342696,-0.57844543,,,-1.2681445,4.2073083,3.7443092,,-2.4139564,4.394125,1.7785703,0.48087233,3.3188033,-5.108766,4.047629,4.819656,2.1117582,5.3370833,3.5016646,3.8924353,3.6872444,3.524306,3.1497705,2.720795,1.2030036,-0.21617913,,,4.79512,-1.8201497,2.6298773,1.7788426,3.6718292,5.1166415,4.3880806,5.130676,2.5300043,4.254271,3.8682244,1.0223234,1.1124326,1.8354555,4.1366997,3.521201,3.7488496,4.6732183,2.5241597,4.2334795,3.2964182,2.7868478,5.1106997,3.226297,4.5416665,0.5281149,2.7177036,-0.5517017,2.1387,-4.3839045,,4.720677,2.7404482,4.184732,0.0063491017,-0.25204292,5.0054784,5.446326,1.9575245,2.319238,4.1893907,0.039014656,4.945617,4.4722595,4.013704,4.8640347,2.9851944,2.5982034,4.3789225,4.6311483,,
NCI-H1993,5.6802382,3.3245947,4.7810626,2.886791,4.3406196,4.4198823,3.2484338,-1.1397687,-4.9927535,3.502881,5.030558,-1.9033734,-2.5282185,5.3446484,5.298051,4.1720214,3.1543865,3.9685605,4.9179254,1.1099963,-1.8349477,4.854859,2.2294548,3.2184098,,0.90311986,2.0936248,-3.00069,2.7804008,-3.9753587,3.9954717,-1.2639774,-1.1057707,7.3964877,4.5578456,0.5020661,5.949609,-3.6351066,1.9781238,-0.21026339,,4.999247,2.502114,0.7878766,3.5742776,-5.871031,4.722458,5.933064,2.033708,3.896932,3.2588773,5.671174,5.012638,1.5120158,3.2435727,2.7765617,-1.4977713,-4.331514,3.9408228,2.6642911,5.5085125,5.992858,-1.071226,,,0.745251,-0.9157403,5.2545867,5.5309043,0.051255845,3.854581,3.0698764,4.564741,5.4093103,3.781784,3.6993713,0.53372854,-2.3259385,2.3260326,5.170003,4.4832454,5.3784204,0.11523427,,,,,1.1648095,-2.6484482,4.2481847,3.7871659,3.5547867,2.8374088,3.246025,2.9229815,4.5992885,5.7475257,3.6369336,3.5568407,5.991093,1.4828569,1.0198644,1.0477586,,,-0.23447673,5.642325,3.6865654,2.5720816,-2.9220476,4.6035914,2.4626133,3.6540494,4.127297,-3.7790966,4.7147207,4.752726,0.45448077,5.010004,4.500647,3.290354,4.856177,3.7239256,3.4470038,4.900093,1.2378709,1.295195,,,5.992858,-0.7200093,1.9701705,1.9183348,5.4553623,4.5036597,5.8270288,5.016853,4.165487,5.3094406,4.0489273,1.5641644,2.7936265,2.9018447,3.6338887,3.3264651,5.114489,5.9607854,-1.3648802,3.2498593,2.1372373,4.7557545,5.8683643,4.0196886,4.216866,1.1068059,2.4237387,-0.8960731,3.6350584,-3.412097,0.21121775,3.9867766,3.0087368,5.7326546,3.7020242,-2.3718233,5.4220724,5.8989477,0.7309766,3.3834548,5.2293267,2.385338,2.7901661,3.3418627,4.4211574,3.1917849,4.3666263,0.8324799,4.1527686,5.3909707,,
SIMA,5.195791,0.45893702,2.780173,3.0726998,0.05876766,2.9522545,1.1670401,0.76818293,-1.9804149,3.2180238,0.067038484,-0.92738545,-2.139541,5.384732,5.420893,4.1401196,4.097015,3.3938591,4.757391,3.6739237,,2.6816206,3.7979476,1.8471686,,1.8671415,0.9520472,3.0093381,3.464169,-3.366224,1.2560488,0.70931727,2.1307693,6.2947865,5.340958,2.3196793,5.0775766,-3.7739894,0.57865316,2.054108,,3.645326,1.5640088,-1.5905025,2.319398,-0.23392096,2.9290693,5.725699,2.5941205,3.1869323,2.4817932,4.307259,4.0506377,1.5846442,3.1799438,,-4.3597565,-3.387121,3.441208,,,5.278453,,,,-0.553651,-0.1167344,2.4365067,4.013099,1.504823,3.1665099,1.9582267,2.6798959,5.8098354,3.6688747,4.3740315,-0.8955836,-4.089232,1.1992766,2.3224607,5.3720737,,-1.6825103,,,,,1.2174535,-1.4035791,3.3394537,0.9080533,4.1330123,0.010928134,2.6179934,3.287578,5.3920355,3.5771954,3.1132157,3.0170636,4.26501,0.3881,1.3790734,-1.097443,,,-2.270264,3.7864993,0.059215337,-0.0051157097,-1.8951029,3.6228626,2.7523985,0.8637773,3.4839804,-5.4411225,4.070603,5.3085604,-0.06883072,5.4616723,4.1191916,2.3225694,4.384264,4.306679,,4.068779,1.8713236,,,,4.610727,-1.6513675,3.2960403,3.2408836,5.492258,3.7092228,1.7458849,4.9021754,3.185945,5.48772,3.051007,4.2359123,4.0380383,1.9245757,1.2239414,-0.5194898,5.2114344,5.4370623,3.465211,3.1054578,0.47236857,4.019697,3.215885,3.3461874,,3.3841832,3.8334115,0.3730386,3.9799352,-0.6605124,-2.8813229,0.6451801,-5.902567,4.6185603,1.9472717,-1.7991532,,4.964263,1.4636204,3.1109037,4.9170036,0.9289801,5.053435,2.1188016,4.9808173,5.358214,1.574996,1.3807871,4.995318,,,
JHOS-3,4.0279503,4.7012043,4.989026,0.8839296,2.4987297,4.2118087,2.5706034,1.0696207,-1.2915378,3.417613,3.5777817,-3.0929232,-2.538967,5.956905,6.425356,6.1812863,1.6661183,3.5645952,5.3879714,3.4220989,3.0840957,5.318659,3.0610204,6.8726244,4.1113257,2.9777946,1.3179512,4.1142116,4.765078,-0.26011333,2.5626955,,4.0303073,6.2355022,5.357655,2.4879687,3.4540493,-2.288854,3.240044,1.2984109,5.5157475,4.4466763,2.6287978,0.34432426,,-6.049253,,5.004412,4.6052327,4.0480976,4.127615,3.8843863,2.7245402,0.9448252,4.0606008,3.1239338,-1.4461106,,2.5342839,4.8146424,6.425356,6.425356,0.7848941,-1.6953177,4.443848,2.2840388,1.0843588,3.8527102,5.993738,1.8070567,5.163687,3.7214463,5.1544933,5.9484696,4.3285275,3.4205704,0.6161474,-0.42645514,3.5583413,,5.9399033,4.9455075,0.12538776,4.8781314,3.2976232,6.093084,3.0858777,,-3.0073824,3.9792912,1.9347869,2.3415098,2.4050694,3.2240214,4.939845,6.4209876,3.2525685,3.1536145,2.479197,,3.4362056,-0.057686627,1.237123,5.993664,2.4199653,-0.30425835,6.051678,2.8709366,3.3399692,-0.7451251,5.7322087,0.5615171,1.1428518,3.3984485,-4.876234,4.6744986,4.776729,3.4842842,5.745472,6.047881,4.945506,4.8371253,5.160537,6.1104035,4.612556,1.5465889,,5.333112,4.531203,5.6482,-1.5028783,3.3575075,3.6529427,6.423402,5.0573006,4.7603345,5.8902526,6.425356,6.3504763,2.6850946,2.595484,3.160068,3.1832163,,,6.4198675,6.3490815,1.0219007,6.8744764,2.1404383,5.049176,6.425356,2.6123643,5.5013075,3.4841385,5.557359,-2.0796635,-2.238846,-1.7358605,1.8229204,2.6675947,-2.4728742,6.3272505,4.428207,0.14101692,5.6557612,5.093731,0.28857547,3.3837788,5.5934477,4.911753,6.425356,4.0503635,4.054317,4.794218,5.0287533,1.47361,4.8717036,6.425356,4.5255036,3.860883
LB2241-RCC,4.2255106,2.0651855,4.062333,0.6873753,3.944166,2.387802,3.5961633,0.9333858,-0.2865154,2.148043,2.18242,2.1085136,-1.4909345,5.922556,5.9820395,3.3470988,3.5646195,2.6695256,4.9328904,3.157185,2.970056,5.113086,2.5396862,3.7400565,5.301138,2.715887,1.3867784,3.6794543,4.7166348,-1.5336354,,,3.093797,5.821991,4.980848,2.731349,2.6761427,-3.5267365,1.9962928,3.199363,4.816536,4.80117,2.5048487,0.5911311,,-4.511501,,4.0760713,3.6235645,4.5849905,2.9357293,4.2403035,2.860831,1.8508967,2.383972,2.9310086,-3.440008,,2.1172607,4.125107,3.5822723,5.9501615,-4.0220613,1.3284754,3.2970953,3.4222324,-0.42753354,1.7826551,4.745885,1.2130842,2.9794014,2.1988394,3.1988819,5.3453627,3.4880445,2.442642,-0.79285926,-5.381536,4.133701,,3.7577488,3.1229732,-0.85608304,2.8271778,2.9863071,2.5741107,5.97352,,-1.9394051,3.6794543,1.0723394,3.3025177,0.2791161,2.687061,4.3207326,5.844617,4.483024,2.7573917,3.2673423,,2.5300927,4.4345083,0.50498784,0.4480264,1.85438,-0.7801558,3.9206336,0.7876375,0.30619633,-1.9716405,5.286006,4.974336,1.8129808,3.6262105,-4.7348833,5.684295,4.5390825,-0.12326952,2.314599,4.9215302,1.191075,4.433477,5.6008224,5.8749743,2.8304446,1.6513014,,5.1351476,4.3370748,3.937851,-1.0923027,2.3126051,3.432244,5.940011,4.836179,4.438868,4.630526,5.358492,5.953327,2.7727032,5.3533115,4.269045,2.3477726,,,5.9439306,5.90874,0.14749582,6.3321304,0.4126209,5.311658,5.288844,5.6794276,3.6563685,0.99379027,2.6302714,3.0514286,-1.00788,-1.9078478,-0.8748238,2.108638,-4.186206,4.654025,5.546814,-0.027846653,3.740645,5.5086956,3.4018905,3.5543985,6.518662,3.006595,5.6773157,5.2066436,4.62024,4.177074,3.9645789,3.3207283,5.8347254,5.976922,2.7346995,1.7702612
